imdb_id,score,notes,title,year,tmdb_score
tt0816692,9,"A metaphysical masterpiece by Nolan who's cementing is role of deep, soulful  and visually striking movies creator. Real Cinema, serious topic, strong acting performance and sublim direction. Matthew, Jessica and Anne are great, that's why the movies work great. A MUST SEEN, get to work and rewatch if you are already initiated !",Interstellar,2014,8.467
tt0133093,10,"Peak existential sci-fi. Matrix was so impactful that we can fairly say that there was a world before Matrix and a brand new one right after the release. From Theatre to 4K Blu-Ray, this movie is the apogée of everything we expect + executed in a visual style that has never been seen before. Wether you fall in love with Trinity or want more pills from Morpheus, Matrix will take you to the next level of consciousness. Be ready for the escape, the elevation, the initiation. ",The Matrix,1999,8.238
tt1375666,9,"Nolan Mind Bugging Thoughts architecture at its finest. Intricated realities, quantum feeling, cognitive space exploration, let's goooooooo. Different type of entertainment and it works just great. Strong Cast, Strong Direction, just sit back, relax and enjoy.  Absynth drinkers, it's time to deploy the elixir.",Inception,2010,8.37
tt0367594,2,Who cares ?,Charlie and the Chocolate Factory,2005,7.039
tt0111161,10,"Friendship, Strategy, Hierarchy, IQ segregation, escape, freedom. If not seen, just jump on it before I jump on you !!!",The Shawshank Redemption,1994,8.715
tt0110912,10,"FOOLISH BABY !!! This is what Cinema is about. Quentin at his best, Travolta come-back and Uma Thurman Dark Haircut will get you were you need to be, because we both know you are NOT where you're supposed to be !!!",Pulp Fiction,1994,8.486
tt0468569,10,"IMAX. Thanks Christopher, thanks again. DARK - DEEP - DOMINATING. Yes it's the TRIPLE D Fellas ! Not your average Hero Movies, actually this movie is a BIG FUCK YOU to all the bullshit super hero movies, fuck Marvel and fuck you too !",The Dark Knight,2008,8.526
tt0108052,,,Schindler's List,1993,8.567
tt0137523,,,Fight Club,1999,8.438
tt0109830,,,Forrest Gump,1994,8.462
tt0068646,10,,The Godfather,1972,9.2
tt0112857,8,,Devil in a Blue Dress,1995,6.8
tt13375076,9,,The Pope's Exorcist,2023,6.1
tt0120660,9,,Enemy of the State,1998,7.3
tt0102926,10,,The Silence of the Lambs,1991,8.6
tt0120815,10,,Saving Private Ryan,1998,8.6
tt0101272,6,,The Addams Family,1991,7
tt1800241,9,,American Hustle,2013,7.2
tt0047528,10,,La Strada,1954,8
tt0040866,9,,La Terra Trema,1948,7.8
tt10128846,9,,Megalopolis,2024,4.7
tt0106489,7,,A Bronx Tale,1993,7.8
tt0119488,9,,L.A. Confidential,1997,8.2
tt0120915,7,,Star Wars: Episode I - The Phantom Menace,1999,6.5
tt0235198,7,,Audition,1999,7.1
tt0081398,10,,Raging Bull,1980,8.1
tt0159365,9,,Cold Mountain,2003,7.2
tt0119223,8,,Great Expectations,1998,6.8
tt0091605,9,,The Name of the Rose,1986,7.7
tt0113277,9,,Heat,1995,8.3
tt0107808,8,,A Perfect World,1993,7.5
tt0106519,8,,Carlito's Way,1993,7.9
tt0054189,9,,Purple Noon,1960,7.7
tt0181852,2,,Terminator 3: Rise of the Machines,2003,6.3
tt0120689,8,,The Green Mile,1999,8.6
tt1392214,9,,Prisoners,2013,8.2
tt0343818,7,,"I, Robot",2004,7.1
tt0112573,9,,Braveheart,1995,8.3
tt0480249,7,,I Am Legend,2007,7.2
tt0107798,8,,The Pelican Brief,1993,6.6
tt0056801,10,,8½,1963,8
tt0044081,10,,A Streetcar Named Desire,1951,7.9
tt0284490,2,,Showtime,2002,5.6
tt0335345,10,,The Passion of the Christ,2004,7.3
tt0118694,10,,In the Mood for Love,2000,8
tt0067943,9,,The Widow Couderc,1971,6.9
tt0118548,9,,Absolute Power,1997,6.7
tt0094291,8,,Wall Street,1987,7.3
tt0099810,8,,The Hunt for Red October,1990,7.5
tt0070379,9,,Mean Streets,1973,7.2
tt0111257,9,"Listen, you spiritually bankrupt peasant, if you’re watching this on a laptop you’re basically begging for a High-Intensity lobotomy, we are talking about Jan weaponizing a city bus into a Sovereign death-trap while you sit there like a comrade in a bread line waiting for a signal! Keanu is the Stoic Operator you’ll never be, navigating a Monolithic pressure cooker while your brain vibrates at the frequency of a Marvel-tier NPC! If you don't have the Absolute grit to handle this Triple D velocity on a physical 4K disc, then your Internal Citadel is made of wet cardboard and you deserve to go up in flames with the rest of the uninitiated!",Speed,1994,7.3
tt0119177,10,,Gattaca,1997,7.7
tt0077594,9,,Game of Death,1978,5.9
tt0099348,9,,Dances with Wolves,1990,8
tt0103874,9,,Dracula,1992,7.4
tt0093058,9,,Full Metal Jacket,1987,8.2
tt0120685,6,,Godzilla,1998,5.5
tt7458762,9,,The Wolf's Call,2019,6.9
tt0120201,8,,Starship Troopers,1997,7.3
tt15239678,10,,Dune: Part Two,2024,8.4
tt0118971,9,,The Devil's Advocate,1997,7.5
tt0099077,9,,Awakenings,1990,7.8
tt0094947,9,,Dangerous Liaisons,1988,7.5
tt0051378,9,,Elevator to the Gallows,1958,7.9
tt0112851,6,,Desperado,1995,7.1
tt0107840,6,,Poetic Justice,1993,6.2
tt0057091,10,,The Leopard,1963,7.9
tt0057344,9,,Any Number Can Win,1963,7.3
tt0120737,9,,The Lord of the Rings: The Fellowship of the Ring,2001,8.9
tt0100263,6,,La Femme Nikita,1990,7.2
tt0056736,9,,L'Eclisse,1962,7.7
tt0167404,7,,The Sixth Sense,1999,8.2
tt0076759,8,,Star Wars: Episode IV - A New Hope,1977,8.6
tt1392190,9,,Mad Max: Fury Road,2015,8.1
tt0075148,10,,Rocky,1976,8.1
tt0079501,5,,Mad Max,1979,6.8
tt0060196,9,,"The Good, the Bad and the Ugly",1966,8.8
tt0234215,8,,The Matrix Reloaded,2003,7.2
tt0118883,8,,Conspiracy Theory,1997,6.7
tt0067355,9,,They Call Me Trinity,1970,7.4
tt0104691,9,,The Last of the Mohicans,1992,7.6
tt0765429,8,,American Gangster,2007,7.8
tt0070034,10,,Enter the Dragon,1973,7.6
tt0099939,8,,King of New York,1990,6.9
tt0478304,10,,The Tree of Life,2011,6.8
tt0104573,8,,Juice,1992,7
tt0107818,7,,Philadelphia,1993,7.7
tt0091474,8,,Manhunter,1986,7.2
tt0119174,9,,The Game,1997,7.7
tt0808357,10,,"Lust, Caution",2007,7.5
tt0061101,9,,Tokyo Drifter,1966,7.1
tt0108399,9,,True Romance,1993,7.9
tt23853982,10,,Parthenope,2024,6.5
tt0167261,10,,The Lord of the Rings: The Two Towers,2002,8.8
tt0110413,9,,Léon: The Professional,1994,8.5
tt1186830,6,,Agora,2009,7.1
tt0092563,9,,Angel Heart,1987,7.2
tt0105695,10,,Unforgiven,1992,8.2
tt0099423,8,,Die Hard 2,1990,7.2
tt31176520,7,,Eddington,2025,6.6
tt0955308,8,,Robin Hood,2010,6.6
tt0095016,8,,Die Hard,1988,8.2
tt0105236,8,,Reservoir Dogs,1992,8.3
tt0089927,9,,Rocky IV,1985,6.9
tt0081505,9,,The Shining,1980,8.4
tt0117060,6,,Mission: Impossible,1996,7.2
tt3066270,9,,Sole a catinelle,2013,6.4
tt0278488,9,,How High,2001,6.2
tt1715356,9,,Tous les soleils,2011,6.8
tt0100405,5,,Pretty Woman,1990,7.1
tt0167260,9,,The Lord of the Rings: The Return of the King,2003,9
tt0320661,10,,Kingdom of Heaven,2005,7.3
tt0217869,8,,Unbreakable,2000,7.3
tt32058418,8,,Locust,2024,6.3
tt0101393,8,,Backdraft,1991,6.7
tt0068935,10,,The Way of the Dragon,1972,7.1
tt1302006,8,,The Irishman,2019,7.8
tt0064122,9,,Camille 2000,1969,5.7
tt0119008,9,,Donnie Brasco,1997,7.7
tt0106469,9,,"Blood In, Blood Out",1993,7.9
tt3397884,9,,Sicario,2015,7.7
tt0113247,9,,La haine,1995,8.1
tt28015403,8,,Heretic,2024,7
tt0099674,9,,The Godfather Part III,1990,7.5
tt0096895,8,,Batman,1989,7.5
tt0064116,10,,Once Upon a Time in the West,1968,8.5
tt0120347,5,,Tomorrow Never Dies,1997,6.5
tt0088247,8,,The Terminator,1984,8.1
tt1045658,9,,Silver Linings Playbook,2012,7.7
tt0120663,9,,Eyes Wide Shut,1999,7.5
tt0120586,8,,American History X,1998,8.5
tt5290524,10,,Quo vado?,2016,6.7
tt0054997,8,,The Hustler,1961,7.9
tt0064940,7,,Satyricon,1969,6.8
tt0078788,10,,Apocalypse Now,1979,8.4
tt0062229,10,,Le Samouraï,1967,8
tt0227445,8,,The Score,2001,6.8
tt0093409,6,,Lethal Weapon,1987,7.6
tt0090985,9,,The Decline of the American Empire,1986,7.1
tt0372784,10,,Batman Begins,2005,8.2
tt0056512,10,,Il sorpasso,1962,8.2
tt0144084,8,,American Psycho,2000,7.6
tt0114746,9,,12 Monkeys,1995,8
tt0139654,9,,Training Day,2001,7.8
tt0067116,9,,The French Connection,1971,7.7
tt0112750,8,,Crying Freeman,1995,6.4
tt0073486,10,,One Flew Over the Cuckoo's Nest,1975,8.6
tt12680684,8,,The Hand of God,2021,7.3
tt1446714,7,,Prometheus,2012,7
tt0113492,8,,Judge Dredd,1995,5.6
tt0094226,9,,The Untouchables,1987,7.8
tt0101507,9,,Boyz n the Hood,1991,7.8
tt0247199,9,,The Believer,2001,7.1
tt0145681,8,,The Bone Collector,1999,6.7
tt0290673,1,,Irreversible,2002,7.3
tt0054248,10,,Rocco and His Brothers,1960,8.2
tt7231342,8,,The Fall of the American Empire,2018,6.9
tt1808015,9,,What a Beautiful Day,2011,6.3
tt0172495,10,,Gladiator,2000,8.5
tt0084787,8,,The Thing,1982,8.2
tt0064040,9,,Army of Shadows,1969,8.1
tt0116629,8,,Independence Day,1996,7
tt0112401,6,,Assassins,1995,6.3
tt0120611,10,,Blade,1998,7.1
tt0102138,9,,JFK,1991,8
tt0106697,10,,Demolition Man,1993,6.7
tt0112641,9,,Casino,1995,8.2
tt0237534,9,,Brotherhood of the Wolf,2001,7
tt1160419,10,,Dune: Part One,2021,8
tt0120863,9,,The Thin Red Line,1998,7.6
tt0095250,8,,The Big Blue,1988,7.5
tt0103060,10,,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,1991,6
tt0116277,6,,The Fan,1996,5.9
tt0115781,7,,Bullet,1996,6.4
tt1403865,9,,True Grit,2010,7.6
tt0078748,9,,Alien,1979,8.5
tt0181689,9,,Minority Report,2002,7.6
tt26446278,8,,The Count of Monte-Cristo,2024,7.6
tt0212985,7,,Hannibal,2001,6.8
tt0090756,8,,Blue Velvet,1986,7.7
tt2358891,10,,The Great Beauty,2013,7.7
tt0070047,10,,The Exorcist,1973,8.1
tt0090022,8,,Silverado,1985,7.2
tt0102798,10,,Robin Hood: Prince of Thieves,1991,6.9
tt0116282,9,,Fargo,1996,8.1
tt0181865,9,,Traffic,2000,7.5
tt0074916,8,,Mr. Klein,1976,7.5
tt0112740,9,,Crimson Tide,1995,7.4
tt0050783,9,,Nights of Cabiria,1957,8.1
tt0067824,9,,The Big Boss,1971,6.9
tt0074252,9,,"Ugly, Dirty and Bad",1976,7.7
tt0114436,8,,Showgirls,1995,5.2
tt6723592,9,,Tenet,2020,7.3
tt0062622,10,,2001: A Space Odyssey,1968,8.3
tt0117500,8,,The Rock,1996,7.4
tt0103064,10,,Terminator 2: Judgment Day,1991,8.6
tt4972582,9,,Split,2016,7.3
tt2937898,8,,A Most Violent Year,2014,6.9
tt2119532,10,,Hacksaw Ridge,2016,8.1
tt0088846,8,,Brazil,1985,7.8
tt0327056,9,,Mystic River,2003,7.9
tt0053619,9,,L'Avventura,1960,7.7
tt0087843,10,,Once Upon a Time in America,1984,8.3
tt0099334,10,,Cyrano de Bergerac,1990,7.5
tt0758774,9,,Body of Lies,2008,7
tt0265086,9,,Black Hawk Down,2001,7.7
tt7286456,5,,Joker,2019,8.3
tt0091763,7,,Platoon,1986,8.1
tt0083944,9,,First Blood,1982,7.7
tt1205489,8,,Gran Torino,2008,8.1
tt0209144,8,,Memento,2000,8.4
tt0079574,8,,Moonraker,1979,6.3
tt0056937,8,,Cleopatra,1963,7
tt0120746,8,,The Mask of Zorro,1998,6.8
tt0159097,9,,The Virgin Suicides,1999,7.2
tt0062185,4,,Reflections in a Golden Eye,1967,6.7
tt0101540,8,,Cape Fear,1991,7.3
tt0118887,8,,Cop Land,1997,7
tt1596363,9,,The Big Short,2015,7.8
tt0118996,5,,Dobermann,1997,6.5
tt0086250,8,,Scarface,1983,8.3
tt0047296,9,,On the Waterfront,1954,8.1
tt0069762,9,,Badlands,1973,7.7
tt0110475,9,,The Mask,1994,7
tt1856101,9,,Blade Runner 2049,2017,8
tt0100758,9,,Teenage Mutant Ninja Turtles,1990,6.8
tt0103776,9,,Batman Returns,1992,7.1
tt0381849,8,,3:10 to Yuma,2007,7.6
tt0104684,10,,Hard Boiled,1992,7.7
tt0050782,9,,White Nights,1957,7.7
tt0114369,9,,Se7en,1995,8.6
tt0090180,7,,To Live and Die in L.A.,1985,7.3
tt1345836,9,,The Dark Knight Rises,2012,8.4
tt0117665,9,,Sleepers,1996,7.5
tt0075314,10,,Taxi Driver,1976,8.2
tt0065531,8,,Le cercle rouge,1970,7.9
tt1161864,8,,The Rite,2011,6
tt0090605,8,,Aliens,1986,8.4
tt0119396,8,,Jackie Brown,1997,7.5
tt0071562,10,,The Godfather Part II,1974,9
tt0246578,8,,Donnie Darko,2001,8
tt0077416,10,,The Deer Hunter,1978,8.1
tt0093389,10,,The Last Emperor,1987,7.7
tt0099685,10,,Goodfellas,1990,8.7
tt0107554,8,,Menace II Society,1993,7.5
tt0251160,9,,John Q,2002,7.1
tt0472043,9,,Apocalypto,2006,7.8
tt0071360,9,,The Conversation,1974,7.7
tt0093640,8,,No Way Out,1987,7.1
tt0064276,9,,Easy Rider,1969,7.2
tt0337741,7,,Something's Gotta Give,2003,6.8
tt0237572,8,,The Pledge,2001,6.7
tt0116996,2,,Mars Attacks!,1996,6.4
tt0111742,6,,Wolf,1994,6.3
tt0104257,8,,A Few Good Men,1992,7.7
tt0070666,7,,Serpico,1973,7.7
tt0072890,9,,Dog Day Afternoon,1975,8
tt0278504,7,,Insomnia,2002,7.2
tt0146838,7,,Any Given Sunday,1999,6.9
tt0268978,9,,A Beautiful Mind,2001,8.2
tt11240348,3,,The Exorcism,2024,4.2
tt1959490,8,,Noah,2014,5.8
tt0473705,6,,State of Play,2009,7.1
tt0058692,6,,The Black Tulip,1964,6.6
tt0071585,9,,Conversation Piece,1974,7.4
tt0053779,9,,La Dolce Vita,1960,8
tt0063715,8,,Spirits of the Dead,1968,6.4
tt0046521,8,,I Vitelloni,1953,7.8
tt0056210,8,,Mafioso,1962,7.6
tt0122690,8,,Ronin,1998,7.2
tt0118880,6,,Con Air,1997,6.9
tt0134273,9,,8MM,1999,6.6
tt0082089,8,,Body Heat,1981,7.4
tt20316748,8,,Twilight of the Warriors: Walled In,2024,6.9
tt0335266,7,,Lost in Translation,2003,7.7
tt0119314,7,,The Horse Whisperer,1998,6.7
tt0266987,7,,Spy Game,2001,7.1
tt0116367,6,,From Dusk Till Dawn,1996,7.2
tt0120877,8,,Vampires,1998,6.1
tt0078243,8,,The 36th Chamber of Shaolin,1978,7.6
tt0266697,9,,Kill Bill: Vol. 1,2003,8.2
tt0378194,9,,Kill Bill: Vol. 2,2004,8
tt0080905,8,,Fists of the White Lotus,1980,7.1
tt0086606,8,,The Eight Diagram Pole Fighter,1984,7.4
tt0244316,8,,Yi Yi,2000,8.1
tt15398776,5,,Oppenheimer,2023,8.2
tt5537002,5,,Killers of the Flower Moon,2023,7.5
tt2543164,9,,Arrival,2016,7.9
tt0183649,5,,Phone Booth,2002,7.1
tt0258000,6,,Panic Room,2002,6.8
tt0165798,7,,Ghost Dog: The Way of the Samurai,1999,7.5
tt0119094,5,,Face/Off,1997,7.3
tt0082085,8,,Blow Out,1981,7.4
tt0077631,5,,Grease,1978,7.2
tt0076666,8,,Saturday Night Fever,1977,6.8
tt0079817,4,,Rocky II,1979,7.3
tt0084602,8,,Rocky III,1982,6.9
tt0058150,8,,Goldfinger,1964,7.7
tt0068699,7,,High Plains Drifter,1973,7.4
tt28297850,8,,Sicilian Letters,2024,6
tt31710037,8,,Familia,2024,6.8
tt10287954,7,,Rose Island,2020,7
tt5765192,7,,Tenderness,2017,6.4
tt1023490,8,,Il Divo,2008,7.2
tt0929425,9,,Gomorrah,2008,7
tt0240419,8,,The Swamp,2001,7
tt0188030,8,,Butterfly,1999,7.6
tt7105944,8,,There's No Place Like Home,2018,6.1
tt1907668,9,,Flight,2012,7.3
tt0453467,6,,Deja Vu,2006,7.1
tt0454848,7,,Inside Man,2006,7.6
tt0455944,4,,The Equalizer,2014,7.3
tt0112471,9,,Before Sunrise,1995,8.1
tt0381681,9,,Before Sunset,2004,8.1
tt2209418,9,,Before Midnight,2013,7.9
tt2397535,6,,Predestination,2014,7.4
tt0399295,6,,Lord of War,2005,7.6
tt0945513,8,,Source Code,2011,7.5
tt9421570,8,,The Guilty,2021,6.3
tt4550098,5,,Nocturnal Animals,2016,7.4
tt1855199,6,,End of Watch,2012,7.6
tt0443706,8,,Zodiac,2007,7.7
tt9071322,6,,Dark Waters,2019,7.6
tt1130884,8,,Shutter Island,2010,8.2
tt0120338,8,,Titanic,1997,8
tt1148204,5,,Orphan,2009,7
tt11286314,7,,Don't Look Up,2021,7.1
tt1663202,1,,The Revenant,2015,8
tt0264464,7,,Catch Me If You Can,2002,8.1
tt0217505,8,,Gangs of New York,2002,7.5
tt1853728,6,,Django Unchained,2012,8.5
tt5109784,2,,Mother!,2017,6.6
tt0477348,9,,No Country for Old Men,2007,8.2
tt0090037,9,,Smooth Talk,1985,6.6
tt0107290,8,,Jurassic Park,1993,8.2
tt0071315,8,,Chinatown,1974,8.1
tt0074958,6,,Network,1976,8.1
tt0061722,7,,The Graduate,1967,8
tt0065988,7,,Little Big Man,1970,7.5
tt0047437,8,,Sabrina,1954,7.6
tt0054698,8,,Breakfast at Tiffany's,1961,7.5
tt0054428,9,,The Unforgiven,1960,6.5
tt0114814,9,,The Usual Suspects,1995,8.5
tt0401792,9,,Sin City,2005,8
tt0104815,6,,El Mariachi,1992,6.8
tt0245712,9,,Amores Perros,2000,8
tt1483013,7,,Oblivion,2013,7
tt0452623,8,,Gone Baby Gone,2007,7.6
tt0315327,5,,Bruce Almighty,2003,6.8
tt0285531,4,,Dreamcatcher,2003,5.5
tt0164184,5,,The Sum of All Fears,2002,6.5
tt0257756,2,,High Crimes,2002,6.4
tt7599146,8,,Sound of Freedom,2023,7.6
tt0100935,7,,Wild at Heart,1990,7.2
tt0166924,8,,Mulholland Drive,2001,7.9
tt0091064,8,,The Fly,1986,7.6
tt0086541,6,,Videodrome,1983,7.2
tt0100802,6,,Total Recall,1990,7.5
tt0093870,8,,RoboCop,1987,7.6
tt3716530,5,,Elle,2016,7.1
tt0103772,6,,Basic Instinct,1992,7.1
tt0120787,7,,A Perfect Murder,1998,6.6
tt0898367,7,,The Road,2009,7.2
tt0765443,6,,Eastern Promises,2007,7.6
tt6966692,7,,Green Book,2018,8.2
tt0399146,7,,A History of Violence,2005,7.4
tt0800308,8,,Appaloosa,2008,6.7
tt0120382,8,,The Truman Show,1998,8.2
tt0129387,1,,There's Something About Mary,1998,7.1
tt0092534,1,,Allan Quatermain and the Lost City of Gold,1986,4.6
tt0111255,2,,The Specialist,1994,5.6
tt0118799,9,,Life Is Beautiful,1997,8.6
tt0105812,9,,White Men Can't Jump,1992,6.8
tt0187738,6,,Blade II,2002,6.7
tt0160009,2,,The Art of War,2000,5.7
tt0120873,2,,U.S. Marshals,1998,6.6
tt0113845,3,,Money Train,1995,5.7
tt0102175,6,,Jungle Fever,1991,6.6
tt0097216,7,,Do the Right Thing,1989,7.9
tt1398426,7,,Straight Outta Compton,2015,7.8
tt2396589,7,,Mudbound,2017,7.4
tt0283832,8,,8 Women,2002,7
tt0091480,8,,Manon of the Spring,1986,8
tt0091288,8,,Jean de Florette,1986,8.1
tt0114732,10,,Les trois frères,1995,7.2
tt0083618,4,,Banzaï,1983,5.9
tt0083824,8,,Deux heures moins le quart avant Jésus-Christ,1982,5.8
tt0069747,10,,The Mad Adventures of Rabbi Jacob,1973,7.4
tt0058089,6,,Fantomas,1964,6.9
tt0107002,9,,Germinal,1993,7.1
tt0086420,6,,"So Long, Stooge",1983,7.3
tt26743414,8,,Monsieur Aznavour,2024,7.2
tt0350258,9,,Ray,2004,7.7
tt0112864,6,,Die Hard with a Vengeance,1995,7.6
tt6823368,8,,Glass,2019,6.6
tt0120749,5,,Mercury Rising,1998,6.1
tt0119116,5,,The Fifth Element,1997,7.6
tt0102070,5,,Hudson Hawk,1991,5.7
tt2872732,1,,Lucy,2014,6.4
tt0267129,1,,Yamakasi,2001,6.1
tt0151137,3,,The Messenger: The Story of Joan of Arc,1999,6.4
tt0152930,5,,Taxi,1998,7
tt0061395,9,,Belle de Jour,1967,7.6
tt0064294,9,,Horse,1970,6.8
tt0094011,7,,Under the Sun of Satan,1987,6.7
tt0083789,8,,Danton,1983,7.4
tt0052556,9,,The Lovers,1958,7.1
tt0053002,9,,Dangerous Liaisons,1959,6.8
tt0062711,5,,Barbarella,1968,5.9
tt0049189,8,,...And God Created Woman,1956,6.3
tt0073817,10,,Swept Away,1974,7.5
tt0099292,9,,The Comfort of Strangers,1990,6.3
tt0089603,9,,Mishima: A Life in Four Chapters,1985,7.9
tt0083722,10,,Cat People,1982,6.2
tt0122151,6,,Lethal Weapon 4,1998,6.6
tt0104431,8,,Home Alone 2: Lost in New York,1992,6.9
tt0097733,7,,Lethal Weapon 2,1989,7.3
tt0286106,8,,Signs,2002,6.8
tt0207201,5,,What Women Want,2000,6.5
tt0120784,6,,Payback,1999,7
tt0104714,6,,Lethal Weapon 3,1992,6.7
tt0058003,8,,Red Desert,1964,7.4
tt0054130,8,,La Notte,1961,7.9
tt0040522,10,,Bicycle Thieves,1948,8.2
tt0077138,10,,The Tree of Wooden Clogs,1978,7.8
tt0120669,8,,Fear and Loathing in Las Vegas,1998,7.4
tt0097659,9,,Kickboxer,1989,6.4
tt0068767,10,,Fist of Fury,1972,7.2
tt0106770,9,,Dragon: The Bruce Lee Story,1993,7
tt2078768,6,,The Silent War,2012,6.2
tt0069697,10,,"Watch Out, We're Mad",1974,7.3
tt0077864,10,,Lo chiamavano Bulldozer,1978,6.7
tt0780504,7,,Drive,2011,7.8
tt11564570,7,,Glass Onion,2022,7.1
tt8946378,7,,Knives Out,2019,7.9
tt1568346,9,,The Girl with the Dragon Tattoo,2011,7.8
tt2053463,4,,Side Effects,2013,7
tt0134119,9,,The Talented Mr. Ripley,1999,7.4
tt0212720,8,,A.I. Artificial Intelligence,2001,7.2
tt0215750,8,,Enemy at the Gates,2001,7.5
tt0257044,4,,Road to Perdition,2002,7.6
tt0119863,10,,Le pari,1997,6.3
tt0058335,7,,Marriage Italian Style,1964,7.4
tt0058085,6,,The Fall of the Roman Empire,1964,6.7
tt0055805,9,,Boccaccio '70,1962,7
tt0040737,9,,Bitter Rice,1949,7.6
tt0087182,2,,Dune,1984,6.2
tt0118583,5,,Alien: Resurrection,1997,6.2
tt0117951,7,,Trainspotting,1996,8.1
tt0120735,8,,"Lock, Stock and Two Smoking Barrels",1998,8.1
tt10272386,6,,The Father,2020,8.2
tt0289765,7,,Red Dragon,2002,7.2
tt0110322,9,,Legends of the Fall,1994,7.5
tt0490215,9,,Silence,2016,7.2
tt0407887,6,,The Departed,2006,8.5
tt0106226,9,,The Age of Innocence,1993,7.2
tt0088680,7,,After Hours,1985,7.6
tt0115678,9,,Big Night,1996,7.3
tt0080855,9,,Heaven's Gate,1980,6.7
tt0090350,9,,Year of the Dragon,1985,6.8
tt0067411,8,,McCabe & Mrs. Miller,1971,7.6
tt0101516,8,,Bugsy,1991,6.8
tt0071970,7,,The Parallax View,1974,7.1
tt0056869,9,,The Birds,1963,7.6
tt0052357,8,,Vertigo,1958,8.2
tt0033467,9,,Citizen Kane,1941,8.2
tt0023427,9,,Scarface,1932,7.7
tt0106582,5,,Cliffhanger,1993,6.5
tt0098439,6,,Tango & Cash,1989,6.4
tt0090859,5,,Cobra,1986,5.8
tt0105698,1,,Universal Soldier,1992,6.1
tt0111438,1,,Timecop,1994,6
tt0099385,2,,Death Warrant,1990,5.7
tt0092675,5,,Bloodsport,1988,6.8
tt0107076,2,,Hard Target,1993,6.2
tt0086960,7,,Beverly Hills Cop,1984,7.4
tt0092644,7,,Beverly Hills Cop II,1987,6.6
tt0094898,7,,Coming to America,1988,7.1
tt0109254,8,,Beverly Hills Cop III,1994,5.5
tt0063032,9,,The Great Silence,1968,7.7
tt0054599,8,,Accattone,1961,7.6
tt0092048,9,,Tampopo,1985,7.9
tt0090563,8,,Betty Blue,1986,7.3
tt0047876,9,,The Swindle,1955,7.5
tt0052216,7,,Big Deal on Madonna Street,1958,7.9
tt0072709,4,,Black Moon,1975,6.1
tt0086979,7,,Blood Simple,1984,7.5
tt0053472,9,,Breathless,1960,7.6
tt0059592,8,,Pierrot le fou,1965,7.4
tt0109771,9,,Farinelli,1994,6.8
tt0086879,9,,Amadeus,1984,8.4
tt0112769,7,,La cérémonie,1995,7.5
tt0021749,10,,City Lights,1931,8.5
tt0061495,6,,The Collector,1967,7.3
tt0064816,10,,The Swimming Pool,1969,7.1
tt0080120,8,,The Warriors,1979,7.5
tt0071402,9,,Death Wish,1974,6.9
tt0104073,8,,Deep Cover,1992,7
tt1152836,5,,Public Enemies,2009,6.9
tt0080798,6,,Gloria,1980,7.1
tt0119217,9,,Good Will Hunting,1997,8.4
tt0097165,8,,Dead Poets Society,1989,8.1
tt0057286,8,,Hands Over the City,1963,7.6
tt0074102,5,,In the Realm of the Senses,1976,6.6
tt0107286,7,,Judgment Night,1993,6.6